Level ID | Goal1 | Goal2 | Goal1_Type | Goal2_Type
------------------------------------------------------------
old_s211 | 2 | 1 | B | A
old_s221 | 1 | 3 | A | C
old_s311 | 3 | 1 | C | A
old_s321 | 1 | 3 | A | C
old_s331 | 1 | 3 | A | C
old_s332 | 1 | 3 | A | C
old_s341 | 2 | 1 | B | A
old_s342 | 2 | 1 | B | A
old_s351 | 2 | 1 | B | A
old_s361 | 3 | 1 | C | A
old_s371 | 1 | 2 | A | B
old_s411 | 2 | 1 | B | A
old_s421 | 1 | 3 | A | C
old_s431 | 1 | 3 | A | C
old_s432 | 1 | 3 | A | C
old_s441 | 3 | 2 | C | B
old_s442 | 3 | 2 | C | B
old_s511 | 2 | 1 | B | A
old_s521 | 2 | 3 | B | C
old_s531 | 3 | 1 | C | A
old_s532 | 2 | 1 | B | A
old_s541 | 1 | 3 | A | C
old_s542 | 1 | 3 | A | C
old_s543 | 1 | 3 | A | C
old_s544 | 1 | 3 | A | C
