Session ID,u1760980603080
Completed At,2025-10-20 17:31:35.185Z
Created At,2025-10-20 17:16:43.080Z

User Data
prolificId,663ae3f35b81791c40865be5
age,38
gender,female
feedback,This was kind of fun!
timestamp,1760981495062

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:20:33.917Z,INTERACTION,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:31:16.740Z,EXPERIMENT_COMPLETE,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:16:43.126Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:16:43.153Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:21:00.334Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced1,,,
2025-10-20 17:21:12.283Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced1,,,
2025-10-20 17:21:14.766Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced1,,,
2025-10-20 17:21:15.850Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:20.517Z,GAME_ACTION,up,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:21.349Z,GAME_ACTION,up,5.0,6.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:23.216Z,GAME_ACTION,right,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:23.749Z,GAME_ACTION,right,6.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:24.283Z,GAME_ACTION,right,7.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:24.932Z,GAME_ACTION,right,8.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:24.933Z,INTERACTION,,8.0,5.0,5.0,8.0,,experienced1,,wizard_interaction,blueAmulet
2025-10-20 17:21:30.183Z,GAME_ACTION,left,8.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:30.883Z,GAME_ACTION,left,7.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:31.533Z,GAME_ACTION,left,6.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:34.249Z,GAME_ACTION,down,5.0,5.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:34.766Z,GAME_ACTION,down,5.0,6.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:35.332Z,GAME_ACTION,down,5.0,7.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:35.899Z,GAME_ACTION,down,5.0,8.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:37.698Z,GAME_ACTION,right,5.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:38.116Z,GAME_ACTION,right,6.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:38.649Z,GAME_ACTION,right,7.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:39.399Z,GAME_ACTION,right,8.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:39.400Z,INTERACTION,,8.0,9.0,5.0,8.0,,experienced1,,treasure_interaction,B
2025-10-20 17:21:39.400Z,LEVEL_COMPLETE,,8.0,9.0,5.0,8.0,,experienced1,,,
2025-10-20 17:21:42.402Z,LEVEL_COMPLETE,,8.0,9.0,5.0,8.0,42.0,experienced1,,,

Level: s112_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:21:42.457Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:21:42.457Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:21:55.165Z,AGENT_OBSERVE,,5.0,7.0,5.0,5.0,,experienced2,,,
2025-10-20 17:22:07.081Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,experienced2,,,
2025-10-20 17:22:07.782Z,AGENT_OBSERVE,,5.0,7.0,5.0,7.0,,experienced2,,,
2025-10-20 17:22:08.515Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,experienced2,,,
2025-10-20 17:22:09.182Z,AGENT_OBSERVE,,5.0,7.0,5.0,9.0,,experienced2,,,
2025-10-20 17:22:09.932Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:10.849Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:15.915Z,GAME_ACTION,down,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:17.365Z,GAME_ACTION,down,5.0,8.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:18.048Z,GAME_ACTION,down,5.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:18.998Z,GAME_ACTION,down,5.0,10.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:18.999Z,INTERACTION,,5.0,10.0,5.0,10.0,,experienced2,,wizard_interaction,blueAmulet
2025-10-20 17:22:22.698Z,GAME_ACTION,up,5.0,10.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:25.198Z,GAME_ACTION,left,5.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:25.665Z,GAME_ACTION,left,4.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:26.148Z,GAME_ACTION,left,3.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:26.682Z,GAME_ACTION,left,2.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:27.832Z,GAME_ACTION,down,1.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:28.298Z,GAME_ACTION,down,1.0,10.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:28.299Z,INTERACTION,,1.0,10.0,5.0,10.0,,experienced2,,wizard_interaction,redAmulet
2025-10-20 17:22:29.914Z,GAME_ACTION,up,1.0,10.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:31.248Z,GAME_ACTION,right,1.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:31.715Z,GAME_ACTION,right,2.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:32.165Z,GAME_ACTION,right,3.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:32.682Z,GAME_ACTION,right,4.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:33.865Z,GAME_ACTION,up,5.0,9.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:34.298Z,GAME_ACTION,up,5.0,8.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:35.565Z,GAME_ACTION,left,5.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:35.932Z,GAME_ACTION,left,4.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:36.415Z,GAME_ACTION,left,3.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:36.948Z,GAME_ACTION,left,2.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:36.948Z,INTERACTION,,2.0,7.0,5.0,10.0,,experienced2,,treasure_interaction,B
2025-10-20 17:22:36.949Z,LEVEL_COMPLETE,,2.0,7.0,5.0,10.0,,experienced2,,,
2025-10-20 17:22:39.950Z,LEVEL_COMPLETE,,2.0,7.0,5.0,10.0,3.0,experienced2,,,

Level: s221_2
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-20 17:27:38.231Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:27:38.235Z,LEVEL_START,,,,,,,,,,
2025-10-20 17:28:00.395Z,AGENT_OBSERVE,,0.0,9.0,4.0,10.0,,experienced2,,,
2025-10-20 17:28:04.028Z,AGENT_OBSERVE,,0.0,9.0,4.0,11.0,,experienced2,,,
2025-10-20 17:28:05.078Z,AGENT_OBSERVE,,0.0,9.0,5.0,11.0,,experienced2,,,
2025-10-20 17:28:13.478Z,AGENT_OBSERVE,,0.0,9.0,6.0,11.0,,experienced2,,,
2025-10-20 17:28:13.795Z,AGENT_OBSERVE,,0.0,9.0,7.0,11.0,,experienced2,,,
2025-10-20 17:28:14.112Z,AGENT_OBSERVE,,0.0,9.0,8.0,11.0,,experienced2,,,
2025-10-20 17:28:14.478Z,AGENT_OBSERVE,,0.0,9.0,9.0,11.0,,experienced2,,,
2025-10-20 17:28:14.912Z,AGENT_OBSERVE,,0.0,9.0,10.0,11.0,,experienced2,,,
2025-10-20 17:28:23.044Z,GAME_ACTION,right,0.0,9.0,10.0,11.0,,experienced2,,,
