Session ID,u1754839571791
Completed At,2025-08-10 15:27:04.245Z
Created At,2025-08-10 15:26:11.791Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 15:26:18.776Z,INTERACTION,,,,,,,,,,,,,comprehension_check,passed

Level: old_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 15:26:21.071Z,AGENT_OBSERVE,,5.0,7.0,5.0,6.0,,,,experienced2,,,,,
2025-08-10 15:26:21.450Z,AGENT_OBSERVE,,5.0,7.0,5.0,8.0,,,,experienced2,,,,,
2025-08-10 15:26:21.672Z,AGENT_OBSERVE,,5.0,7.0,5.0,10.0,,,,experienced2,,,,,
2025-08-10 15:26:22.075Z,AGENT_OBSERVE,,5.0,7.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:24.333Z,GAME_ACTION,up,5.0,7.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:24.468Z,GAME_ACTION,up,5.0,6.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:24.755Z,GAME_ACTION,left,5.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:24.909Z,GAME_ACTION,left,4.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:25.067Z,GAME_ACTION,left,3.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:25.257Z,GAME_ACTION,left,2.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:25.257Z,INTERACTION,,2.0,5.0,5.0,11.0,,,,experienced2,,,,wizard_interaction,
2025-08-10 15:26:26.201Z,GAME_ACTION,right,2.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:26.353Z,GAME_ACTION,right,3.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:26.535Z,GAME_ACTION,right,4.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:26.682Z,GAME_ACTION,right,5.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:26.861Z,GAME_ACTION,right,6.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:27.034Z,GAME_ACTION,right,7.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:27.200Z,GAME_ACTION,right,8.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:27.200Z,INTERACTION,,8.0,5.0,5.0,11.0,,,,experienced2,,,,wizard_interaction,blueAmulet
2025-08-10 15:26:27.844Z,GAME_ACTION,left,8.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:28.034Z,GAME_ACTION,left,7.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:28.200Z,GAME_ACTION,left,6.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:30.043Z,GAME_ACTION,down,5.0,5.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:30.191Z,GAME_ACTION,down,5.0,6.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:30.340Z,GAME_ACTION,down,5.0,7.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:30.485Z,GAME_ACTION,down,5.0,8.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:30.734Z,GAME_ACTION,right,5.0,9.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:30.907Z,GAME_ACTION,right,6.0,9.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:31.067Z,GAME_ACTION,right,7.0,9.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:31.240Z,GAME_ACTION,right,8.0,9.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:31.241Z,INTERACTION,,8.0,9.0,5.0,11.0,,,,experienced2,,,,treasure_interaction,B
2025-08-10 15:26:31.241Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,,,,experienced2,,,,,
2025-08-10 15:26:34.243Z,LEVEL_COMPLETE,,8.0,9.0,5.0,11.0,,,14.0,experienced2,,,,,

Level: old_s112
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 15:26:34.344Z,LEVEL_START,,,,,,,,,,,,,,
2025-08-10 15:26:34.344Z,LEVEL_START,,,,,,,,,,,,,,

Level: s211
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 15:26:12.236Z,LEVEL_START,,,,,,,,,,,,,,

