level,agent2,agent3
sm211_scenario1,1,5
sm211_scenario2,7,0
sm221_scenario1,0,6
sm221_scenario2,0,6
sm311_scenario1,1,8
sm311_scenario2,3,0
sm321_scenario1,0,10
sm321_scenario2,0,10
sm331_scenario1,0,6
sm331_scenario2,0,6
sm341_scenario1,1,11
sm341_scenario2,8,0
sm351_scenario1,0,10
sm351_scenario2,0,10
sm361_scenario1,0,11
sm361_scenario2,0,11
sm371_scenario1,0,0
sm371_scenario2,0,0
sm411_scenario1,1,13
sm411_scenario2,5,0
sm421_scenario1,8,0
sm421_scenario2,1,14
sm431_scenario1,6,0
sm431_scenario2,6,0
sm432_scenario1,0,10
sm432_scenario2,0,10
sm511_scenario1,1,22
sm511_scenario2,13,0
sm521_scenario1,1,19
sm521_scenario2,10,0
sm531_scenario1,3,0
sm531_scenario2,1,8
sm541_scenario1,5,0
sm541_scenario2,1,12
sm543_scenario1,0,0
sm543_scenario2,0,0
sm611_scenario1,2,0
sm611_scenario2,1,8
sm612_scenario1,2,0
sm612_scenario2,1,11
