Session ID,u1760821476093
Completed At,2025-10-18 21:04:56.175Z
Created At,2025-10-18 21:04:36.093Z

User Data
(no demographics found),

Comprehension Check
Passed,FALSE

Level: s111
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:04:26.113Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:04:26.113Z,LEVEL_START,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,NPC X,NPC Y,Steps Remaining,NPC Path Type,NPC Current Path Index,Interaction Type,Interaction Details
2025-10-18 21:04:27.415Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:04:36.103Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:04:36.192Z,LEVEL_START,,,,,,,,,,
2025-10-18 21:04:36.246Z,LEVEL_START,,,,,,,,,,

