level,actual_obs_count,ref_obs_count,obs_diff,obs_pct_diff,actual_agent2,ref_agent2,agent2_diff,agent2_pct_diff,actual_agent3,ref_agent3,agent3_diff,agent3_pct_diff,actual_mean,ref_mean,mean_diff
comprehension_check,0,0,0,,0,0,0,,0,0,0,,0.0,,
experiment,0,0,0,,0,0,0,,0,0,0,,0.0,,
s111_1,0,0,0,,0,0,0,,0,0,0,,0.0,,
sm111_1,23,0,23,,0,0,0,,0,0,0,,11.5,,
sm112_1,17,0,17,,0,0,0,,0,0,0,,8.5,,
sm211_1,8,0,8,,0,0,0,,0,0,0,,8.0,,
sm211_3,5,0,5,,0,0,0,,0,0,0,,5.0,,
sm211_scenario1,0,6,-6,-100.0,0,1,-1,-100.0,0,5,-5,-100.0,,,
sm211_scenario2,0,6,-6,-100.0,0,6,-6,-100.0,0,0,0,,,,
sm211_scenario3,0,6,-6,-100.0,0,6,-6,-100.0,0,0,0,,,,
sm221_scenario1,0,6,-6,-100.0,0,0,0,,0,6,-6,-100.0,,,
sm221_scenario2,0,14,-14,-100.0,0,13,-13,-100.0,0,1,-1,-100.0,,,
sm221_scenario3,0,6,-6,-100.0,0,0,0,,0,6,-6,-100.0,,,
sm311_scenario1,0,9,-9,-100.0,0,1,-1,-100.0,0,8,-8,-100.0,,,
sm311_scenario2,0,10,-10,-100.0,0,10,-10,-100.0,0,0,0,,,,
sm311_scenario3,0,10,-10,-100.0,0,10,-10,-100.0,0,0,0,,,,
sm321_3,14,0,14,,0,0,0,,0,0,0,,14.0,,
sm321_scenario1,0,13,-13,-100.0,0,0,0,,0,13,-13,-100.0,,,
sm321_scenario2,0,16,-16,-100.0,0,15,-15,-100.0,0,1,-1,-100.0,,,
sm321_scenario3,0,13,-13,-100.0,0,0,0,,0,13,-13,-100.0,,,
sm331_scenario1,0,1,-1,-100.0,0,1,-1,-100.0,0,0,0,,,,
sm331_scenario2,0,5,-5,-100.0,0,5,-5,-100.0,0,0,0,,,,
sm331_scenario3,0,5,-5,-100.0,0,5,-5,-100.0,0,0,0,,,,
sm341_scenario1,0,0,0,,0,0,0,,0,0,0,,,,
sm341_scenario2,0,0,0,,0,0,0,,0,0,0,,,,
sm341_scenario3,0,0,0,,0,0,0,,0,0,0,,,,
sm351_2,26,0,26,,0,0,0,,0,0,0,,13.0,,
sm351_scenario1,0,3,-3,-100.0,0,0,0,,0,3,-3,-100.0,,,
sm351_scenario2,0,13,-13,-100.0,0,12,-12,-100.0,0,1,-1,-100.0,,,
sm351_scenario3,0,3,-3,-100.0,0,0,0,,0,3,-3,-100.0,,,
sm361_scenario1,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm361_scenario2,0,2,-2,-100.0,0,1,-1,-100.0,0,1,-1,-100.0,,,
sm361_scenario3,0,9,-9,-100.0,0,0,0,,0,9,-9,-100.0,,,
sm371_scenario1,0,0,0,,0,0,0,,0,0,0,,,,
sm371_scenario2,0,0,0,,0,0,0,,0,0,0,,,,
sm371_scenario3,0,0,0,,0,0,0,,0,0,0,,,,
sm411_scenario1,0,12,-12,-100.0,0,1,-1,-100.0,0,11,-11,-100.0,,,
sm411_scenario2,0,16,-16,-100.0,0,16,-16,-100.0,0,0,0,,,,
sm411_scenario3,0,16,-16,-100.0,0,16,-16,-100.0,0,0,0,,,,
sm421_scenario1,0,20,-20,-100.0,0,0,0,,0,20,-20,-100.0,,,
sm421_scenario2,0,18,-18,-100.0,0,17,-17,-100.0,0,1,-1,-100.0,,,
sm421_scenario3,0,20,-20,-100.0,0,0,0,,0,20,-20,-100.0,,,
sm431_scenario1,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm431_scenario2,0,2,-2,-100.0,0,1,-1,-100.0,0,1,-1,-100.0,,,
sm431_scenario3,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm432_scenario1,0,2,-2,-100.0,0,1,-1,-100.0,0,1,-1,-100.0,,,
sm432_scenario2,0,20,-20,-100.0,0,20,-20,-100.0,0,0,0,,,,
sm432_scenario3,0,17,-17,-100.0,0,1,-1,-100.0,0,16,-16,-100.0,,,
sm511_scenario1,0,16,-16,-100.0,0,0,0,,0,16,-16,-100.0,,,
sm511_scenario2,0,23,-23,-100.0,0,17,-17,-100.0,0,6,-6,-100.0,,,
sm511_scenario3,0,16,-16,-100.0,0,0,0,,0,16,-16,-100.0,,,
sm521_scenario1,0,25,-25,-100.0,0,2,-2,-100.0,0,23,-23,-100.0,,,
sm521_scenario2,0,20,-20,-100.0,0,20,-20,-100.0,0,0,0,,,,
sm521_scenario3,0,20,-20,-100.0,0,20,-20,-100.0,0,0,0,,,,
sm531_scenario1,0,16,-16,-100.0,0,1,-1,-100.0,0,15,-15,-100.0,,,
sm531_scenario2,0,12,-12,-100.0,0,12,-12,-100.0,0,0,0,,,,
sm531_scenario3,0,12,-12,-100.0,0,12,-12,-100.0,0,0,0,,,,
sm541_scenario1,0,7,-7,-100.0,0,0,0,,0,7,-7,-100.0,,,
sm541_scenario2,0,2,-2,-100.0,0,1,-1,-100.0,0,1,-1,-100.0,,,
sm541_scenario3,0,7,-7,-100.0,0,0,0,,0,7,-7,-100.0,,,
sm543_1,0,0,0,,0,0,0,,0,0,0,,0.0,,
sm543_scenario1,0,0,0,,0,0,0,,0,0,0,,,,
sm543_scenario2,0,0,0,,0,0,0,,0,0,0,,,,
sm543_scenario3,0,0,0,,0,0,0,,0,0,0,,,,
sm611_scenario1,0,1,-1,-100.0,0,0,0,,0,1,-1,-100.0,,,
sm611_scenario2,0,13,-13,-100.0,0,9,-9,-100.0,0,4,-4,-100.0,,,
sm611_scenario3,0,1,-1,-100.0,0,0,0,,0,1,-1,-100.0,,,
sm621_scenario1,0,16,-16,-100.0,0,0,0,,0,16,-16,-100.0,,,
sm621_scenario2,0,10,-10,-100.0,0,9,-9,-100.0,0,1,-1,-100.0,,,
sm621_scenario3,0,16,-16,-100.0,0,0,0,,0,16,-16,-100.0,,,
sm631_2,12,0,12,,0,0,0,,0,0,0,,12.0,,
sm631_3,10,0,10,,0,0,0,,0,0,0,,10.0,,
sm631_scenario1,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
sm631_scenario2,0,10,-10,-100.0,0,9,-9,-100.0,0,1,-1,-100.0,,,
sm631_scenario3,0,10,-10,-100.0,0,0,0,,0,10,-10,-100.0,,,
