Session ID,u1763659627796
Completed At,2025-11-20 17:52:30.673Z
Created At,2025-11-20 17:27:07.796Z

User Data
prolificId,628f7e982aad1788d940317a
age,71
gender,male
feedback,"Very fun and interesting game and study, I hope to see more like this one in the future, thank you!"
timestamp,1763661161803

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:33:14.780Z,INTERACTION,,,,,,,,,,,,,,comprehension_check,passed

Level: experiment
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:52:00.662Z,EXPERIMENT_COMPLETE,,,,,,,,,,,,,,,

Level: s111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:27:07.849Z,LEVEL_START,,,,,,,,,,,,,,,

Level: sm111_1
Timestamp,Type,Player Action,Player X,Player Y,Observed Agent ID,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-11-20 17:27:07.878Z,LEVEL_START,,,,,,,,,,,,,,,
2025-11-20 17:33:36.908Z,AGENT_OBSERVE,,5.0,7.0,2.0,,,5.0,4.0,,,,experienced1,,,
2025-11-20 17:33:43.652Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,9.0,5.0,4.0,,experienced1,,experienced1,,,
2025-11-20 17:33:48.220Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,5.0,,experienced1,,experienced1,,,
2025-11-20 17:33:53.612Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,6.0,,experienced1,,experienced1,,,
2025-11-20 17:33:55.596Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,7.0,,experienced1,,experienced1,,,
2025-11-20 17:34:02.947Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,8.0,,experienced1,,experienced1,,,
2025-11-20 17:34:04.803Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,9.0,,experienced1,,experienced1,,,
2025-11-20 17:34:07.939Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,10.0,,experienced1,,experienced1,,,
2025-11-20 17:34:09.611Z,AGENT_OBSERVE,,5.0,7.0,2.0,5.0,9.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:34:49.795Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,8.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:34:52.723Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,7.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:34:55.195Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,6.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:34:57.011Z,AGENT_OBSERVE,,5.0,7.0,3.0,5.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
2025-11-20 17:34:58.515Z,AGENT_OBSERVE,,5.0,7.0,3.0,6.0,5.0,5.0,11.0,,experienced1,,experienced1,,,
