Session ID,u1754842248638
Completed At,2025-08-10 16:11:47.341Z
Created At,2025-08-10 16:10:48.638Z

User Data
(no demographics found),

Comprehension Check
Passed,TRUE

Level: comprehension_check
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 16:11:47.341Z,INTERACTION,,,,,,,,,,,,,comprehension_check,passed

Level: old_s111
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 16:11:21.683Z,LEVEL_START,,,,,,,,,,,,,,

Level: s211
Timestamp,Type,Player Action,Player X,Player Y,NPC 1 X,NPC 1 Y,NPC 2 X,NPC 2 Y,Steps Remaining,NPC 1 Path Type,NPC 1 Path Index,NPC 2 Path Type,NPC 2 Path Index,Interaction Type,Interaction Details
2025-08-10 16:10:48.732Z,LEVEL_START,,,,,,,,,,,,,,

