level,agent2,agent3
sm111_scenario1,1,0
sm111_scenario2,1,0
sm112_scenario1,1,1
sm112_scenario2,1,1
sm211_scenario1,1,2
sm211_scenario2,1,0
sm221_scenario1,0,1
sm221_scenario2,2,1
sm311_scenario1,1,3
sm311_scenario2,2,0
sm321_scenario1,0,3
sm321_scenario2,4,1
sm331_scenario1,1,6
sm331_scenario2,3,0
sm332_scenario1,0,0
sm332_scenario2,0,0
sm341_scenario1,0,3
sm341_scenario2,4,1
sm342_scenario1,0,0
sm342_scenario2,0,0
sm351_scenario1,0,3
sm351_scenario2,5,1
sm361_scenario1,4,0
sm361_scenario2,1,1
sm371_scenario1,0,0
sm371_scenario2,0,0
sm411_scenario1,1,6
sm411_scenario2,5,0
sm421_scenario1,0,5
sm421_scenario2,6,1
sm431_scenario1,0,5
sm431_scenario2,1,1
sm432_scenario1,1,1
sm432_scenario2,5,0
sm511_scenario1,1,10
sm511_scenario2,9,0
sm521_scenario1,0,7
sm521_scenario2,8,1
sm531_scenario1,0,5
sm531_scenario2,11,1
sm541_scenario1,3,0
sm541_scenario2,1,1
sm543_scenario1,0,0
sm543_scenario2,0,0
